God	Time	Kills	Deaths	Assists	Player-Dam	Dam-Taken	Gold	Creep-Dam	Struct-Dam	Healing
Hades	40	0.20	0.19	0.35	635.68	854.64	414.16	1369.36	31.95	15.17
He Bo	5	0.13	0.24	0.10	274.59	408.87	434.07	1344.56	18.25	0.10
He Bo	10	0.15	0.23	0.07	357.42	463.72	424.95	1404.16	16.85	0.10
He Bo	20	0.21	0.22	0.23	523.07	573.42	406.70	1523.38	14.05	0.10
He Bo	30	0.31	0.22	0.24	770.37	657.70	442.80	1856.30	34.70	0.10
He Bo	40	0.24	0.22	0.29	770.77	699.95	418.95	1995.80	26.09	0.10
Hel	5	0.10	0.20	0.07	197.91	454.52	439.24	1533.01	22.63	16.98
Hel	10	0.11	0.20	0.11	267.63	517.23	428.77	1586.00	28.22	57.69
Hel	20	0.13	0.20	0.18	407.07	642.66	407.83	1691.99	39.39	139.12
Hel	30	0.16	0.22	0.24	521.97	792.24	403.24	1860.46	39.81	182.89
Hel	40	0.17	0.20	0.25	662.26	974.51	404.80	1952.50	33.89	278.92
Hercules	5	0.19	0.06	0.11	219.07	386.02	438.34	1386.63	26.99	0.10
Hercules	10	0.19	0.10	0.14	278.22	519.22	427.75	1386.53	29.17	0.10
Hercules	20	0.17	0.18	0.21	396.52	785.61	406.58	1386.31	33.52	0.10
Hercules	30	0.16	0.19	0.21	478.95	968.03	408.41	1612.25	48.20	0.10
Hercules	40	0.10	0.16	0.20	489.55	967.19	344.80	1186.45	20.15	0.10
Hun Batz	5	0.26	0.09	0.13	254.97	436.60	460.94	1696.30	16.56	0.10
Hun Batz	10	0.22	0.12	0.16	291.58	490.59	444.61	1723.75	21.71	0.10
Hun Batz	20	0.15	0.18	0.21	364.80	598.57	411.97	1778.67	32.01	0.10
Hun Batz	30	0.24	0.18	0.22	552.09	743.16	435.06	2067.57	34.22	0.10
Hun Batz	40	0.23	0.20	0.34	707.75	802.71	442.09	2270.68	28.72	0.10
Isis	5	0.12	0.16	0.12	263.20	377.00	455.94	1809.09	23.91	1.85
Isis	10	0.15	0.19	0.16	362.18	452.46	445.58	1800.47	28.28	8.21
Isis	20	0.22	0.24	0.24	560.15	603.37	424.86	1783.23	37.01	20.94
Isis	30	0.23	0.22	0.29	677.44	620.33	430.76	1783.69	37.57	42.93
Isis	40	0.24	0.25	0.24	765.61	735.29	425.30	1927.79	29.37	35.57
Kali	5	0.21	0.13	0.15	255.60	501.69	430.55	1244.53	24.63	0.10
Kali	10	0.20	0.15	0.16	292.92	578.57	422.43	1408.17	25.10	0.10
Kali	20	0.18	0.20	0.18	367.58	732.32	406.20	1735.44	26.05	0.10
Kali	30	0.27	0.17	0.22	595.80	892.68	449.97	2219.76	48.45	0.10
Kali	40	0.32	0.21	0.26	754.39	1009.49	460.81	2461.22	58.50	0.10
Loki	5	0.14	0.14	0.13	162.21	359.47	412.43	1275.19	0.14	0.10
Loki	10	0.17	0.17	0.14	220.46	425.16	410.41	1342.10	12.86	0.10
Loki	20	0.22	0.22	0.15	336.96	556.54	406.36	1475.93	38.30	0.50
Loki	30	0.16	0.20	0.18	346.16	601.33	395.11	1705.87	34.30	0.88
Loki	40	0.25	0.20	0.22	526.57	708.21	425.00	2093.59	43.61	0.10
Mercury	5	0.11	0.19	0.13	145.86	460.90	414.15	1476.13	3.46	0.10
Mercury	10	0.15	0.19	0.17	232.31	516.32	416.09	1554.53	20.50	0.10
Mercury	20	0.25	0.18	0.24	405.21	627.17	419.99	1711.33	54.58	0.10
Mercury	30	0.25	0.21	0.22	520.99	751.12	429.83	2086.73	51.07	0.10
Mercury	40	0.19	0.20	0.20	509.63	767.68	412.30	2395.52	48.96	0.10
Ne Zha	5	0.17	0.12	0.08	216.19	438.47	442.06	1568.31	10.04	0.10
Ne Zha	10	0.19	0.14	0.11	293.17	507.66	439.11	1744.57	20.05	0.10
Ne Zha	20	0.22	0.19	0.18	447.14	646.04	433.20	2097.11	40.08	0.10
Ne Zha	30	0.28	0.21	0.22	562.72	783.53	438.31	2247.52	57.60	0.10
Ne Zha	40	0.24	0.23	0.25	618.92	836.96	442.02	2722.74	59.00	0.10
Neith	5	0.16	0.12	0.09	261.92	330.75	411.31	1157.01	23.42	0.10
Neith	10	0.17	0.14	0.13	311.67	399.43	408.51	1243.82	38.00	0.10
Neith	20	0.19	0.18	0.21	411.17	536.79	402.92	1417.45	67.17	0.38
Neith	30	0.19	0.21	0.23	565.44	676.47	403.38	1645.56	70.47	0.37
Neith	40	0.18	0.20	0.21	592.01	689.76	395.59	1742.10	60.38	0.42
Nemesis	5	0.21	0.13	0.12	261.20	456.06	451.43	1447.41	18.01	0.10
Nemesis	10	0.23	0.13	0.16	346.70	534.20	448.00	1560.46	24.31	0.10
Nemesis	20	0.27	0.15	0.23	517.70	690.47	441.14	1786.57	36.90	0.10
Nemesis	30	0.27	0.19	0.24	641.59	822.64	436.12	1871.37	49.40	0.54
Nemesis	40	0.26	0.19	0.25	695.38	892.49	422.79	1888.16	41.49	0.10
Nu Wa	5	0.17	0.19	0.02	175.80	366.50	441.37	1461.32	52.13	0.10
Nu Wa	10	0.17	0.18	0.08	283.96	435.25	432.37	1582.12	54.49	0.10
Nu Wa	20	0.16	0.18	0.18	500.30	572.74	414.38	1823.70	59.21	0.10
Nu Wa	30	0.20	0.17	0.21	645.56	668.90	427.64	1920.68	90.00	0.17
Nu Wa	40	0.22	0.24	0.21	815.78	793.81	427.18	2353.07	79.65	0.10
Odin	5	0.08	0.11	0.14	164.62	432.10	410.93	1253.85	4.45	0.10
Odin	10	0.12	0.13	0.17	260.17	513.53	412.46	1339.90	13.12	0.10
Odin	20	0.21	0.16	0.23	451.28	676.41	415.51	1511.99	30.45	0.78
Odin	30	0.24	0.15	0.30	547.65	838.09	421.07	1725.42	33.62	0.10
Odin	40	0.21	0.19	0.31	597.81	917.40	423.69	1699.23	28.05	9.13
Poseidon	5	0.21	0.17	0.08	315.44	357.51	471.27	1923.84	20.69	0.10
Poseidon	10	0.20	0.19	0.11	366.94	421.60	452.39	1890.69	28.27	0.10
Poseidon	20	0.18	0.22	0.17	469.96	549.79	414.62	1824.38	43.44	0.22
Poseidon	30	0.21	0.22	0.21	601.02	614.89	413.27	2005.19	51.61	0.10
Poseidon	40	0.27	0.22	0.21	800.49	728.17	433.34	2228.65	51.08	2.56
Ra	5	0.12	0.09	0.09	197.07	315.12	461.93	1909.68	32.60	15.03
Ra	10	0.14	0.14	0.12	281.15	401.59	447.26	1847.16	36.81	33.28
Ra	20	0.18	0.22	0.20	449.32	574.52	417.90	1722.11	45.25	69.77
Ra	30	0.17	0.22	0.23	545.30	659.11	406.88	1904.98	39.55	95.28
Ra	40	0.16	0.23	0.25	653.57	809.92	404.28	2065.67	39.90	111.03
Sobek	5	0.05	0.16	0.12	147.04	448.31	384.07	673.99	1.57	0.10
Sobek	10	0.07	0.16	0.16	197.10	532.21	387.44	772.65	3.96	0.10
Sobek	20	0.11	0.17	0.23	297.23	700.00	394.19	969.97	8.73	0.10
Sobek	30	0.12	0.17	0.42	435.70	850.94	406.77	1025.02	15.05	2.06
Sobek	40	0.12	0.16	0.36	515.58	957.70	391.54	1071.47	17.34	0.10
Sun Wukong	5	0.08	0.12	0.06	177.26	398.19	408.94	1356.81	25.72	0.61
Sun Wukong	10	0.10	0.12	0.11	237.57	479.23	408.46	1434.63	29.90	0.41
Sun Wukong	20	0.14	0.14	0.22	358.20	641.29	407.49	1590.27	38.27	0.10
Sun Wukong	30	0.14	0.15	0.23	453.77	768.12	400.20	1714.06	40.82	0.29
Sun Wukong	40	0.13	0.15	0.23	492.25	865.97	389.61	1671.67	36.47	1.47
Thanatos	5	0.23	0.17	0.13	283.23	467.80	436.89	1531.94	0.10	0.10
Thanatos	10	0.25	0.19	0.15	339.75	538.39	436.88	1614.87	11.01	0.10
Thanatos	20	0.31	0.23	0.19	452.80	679.55	436.85	1780.74	37.50	0.10
Thanatos	30	0.34	0.24	0.20	583.14	786.94	438.69	2016.41	29.82	0.10
Thanatos	40	0.27	0.24	0.20	532.95	789.30	420.50	2004.58	30.81	0.10
Thor	5	0.13	0.11	0.09	137.73	340.33	418.45	1211.46	19.06	0.10
Thor	10	0.15	0.17	0.12	213.97	438.94	409.72	1220.73	22.63	0.10
Thor	20	0.20	0.28	0.19	366.45	636.15	392.26	1239.26	29.77	0.75
Thor	30	0.18	0.27	0.20	437.43	721.82	390.56	1461.80	33.86	0.32
Thor	40	0.14	0.25	0.25	445.65	783.99	386.38	1544.58	33.79	2.17
Tyr	5	0.13	0.09	0.10	235.17	433.10	456.03	1784.37	22.78	0.10
Tyr	10	0.15	0.12	0.12	289.97	528.39	444.74	1801.44	27.59	0.10
Tyr	20	0.17	0.17	0.18	399.56	718.97	422.15	1835.58	37.22	0.10
Tyr	30	0.21	0.14	0.20	550.43	823.04	436.11	2128.07	61.57	0.10
Tyr	40	0.15	0.21	0.27	529.66	900.15	399.33	1779.23	39.33	0.10
Vamana	5	0.04	0.05	0.08	171.87	389.29	426.66	1619.95	3.36	0.10
Vamana	10	0.09	0.09	0.12	258.31	511.62	424.14	1657.33	19.34	0.10
Vamana	20	0.17	0.17	0.19	431.20	756.27	419.09	1732.09	51.29	0.26
Vamana	30	0.15	0.15	0.24	496.74	848.40	417.79	1987.57	40.18	1.73
Vamana	40	0.23	0.14	0.30	850.34	1134.25	451.84	2641.51	62.92	0.10
Vulcan	5	0.10	0.18	0.07	207.62	315.39	413.38	1109.58	20.57	0.10
Vulcan	10	0.12	0.19	0.11	328.76	381.67	412.16	1325.63	28.36	0.10
Vulcan	20	0.16	0.20	0.18	571.04	514.22	409.74	1757.73	43.93	1.46
Vulcan	30	0.16	0.22	0.23	640.13	559.03	403.08	1703.99	37.31	1.28
Vulcan	40	0.18	0.21	0.23	729.71	599.96	408.65	1929.72	40.40	0.93
Xbalanque	5	0.10	0.13	0.12	233.54	337.37	395.77	1016.27	29.58	0.10
Xbalanque	10	0.13	0.16	0.15	315.23	431.19	396.49	1172.66	39.08	0.10
Xbalanque	20	0.18	0.21	0.21	478.61	618.84	397.92	1485.44	58.07	0.57
Xbalanque	30	0.25	0.21	0.31	671.69	721.18	421.51	1826.19	67.24	1.09
Xbalanque	40	0.24	0.21	0.31	780.01	818.47	427.26	2211.23	89.34	0.10
Ymir	5	0.14	0.14	0.14	188.56	415.26	421.63	1006.38	7.37	0.10
Ymir	10	0.13	0.16	0.19	235.90	503.04	411.14	1018.42	10.49	0.10
Ymir	20	0.12	0.18	0.27	330.57	678.60	390.14	1042.50	16.74	0.12
Ymir	30	0.14	0.20	0.31	424.34	836.65	392.49	1260.64	19.99	0.89
Ymir	40	0.16	0.16	0.33	558.89	949.72	401.00	1323.61	15.07	0.42
Zeus	5	0.21	0.20	0.03	295.51	374.28	446.91	1438.90	35.38	0.10
Zeus	10	0.22	0.19	0.09	391.41	416.54	444.16	1534.19	37.69	0.10
Zeus	20	0.26	0.18	0.21	583.21	501.05	438.65	1724.77	42.30	1.09
Zeus	30	0.26	0.26	0.21	759.15	670.37	425.60	1842.60	41.45	0.40
Zeus	40	0.29	0.23	0.20	860.10	684.42	425.37	1904.09	36.32	0.10
Zhong Kui	5	0.05	0.19	0.06	191.76	436.37	420.17	1514.06	30.86	0.10
Zhong Kui	10	0.10	0.21	0.09	284.89	512.27	420.29	1563.51	34.92	0.10
Zhong Kui	20	0.20	0.25	0.17	471.16	664.07	420.54	1662.40	43.04	0.18
Zhong Kui	30	0.21	0.24	0.22	645.42	771.58	418.87	1838.08	49.41	0.10
Zhong Kui	40	0.21	0.26	0.29	725.08	890.83	419.81	1964.81	49.99	0.10
All Assasssins	5	0.18	0.15	0.11	213.39	422.20	433.34	1417.67	9.21	0.10
All Assasssins	10	0.20	0.17	0.14	275.92	499.77	427.48	1468.31	18.34	0.10
All Assasssins	20	0.23	0.22	0.19	400.98	654.91	415.77	1569.60	36.59	0.30
All Assasssins	30	0.24	0.22	0.21	507.64	754.64	421.33	1856.41	37.68	0.14
All Assasssins	40	0.23	0.23	0.23	550.27	811.43	417.96	1990.00	41.53	0.72
All Healers	5	0.12	0.13	0.10	199.67	373.75	437.53	1485.38	24.41	32.23
All Healers	10	0.14	0.16	0.14	283.45	461.38	429.18	1527.06	31.27	47.41
All Healers	20	0.18	0.21	0.20	451.01	636.65	412.48	1610.43	45.01	77.77
All Healers	30	0.17	0.21	0.26	515.87	731.62	405.76	1702.14	42.10	123.70
All Healers	40	0.18	0.22	0.26	643.02	859.61	408.30	1868.57	42.40	143.86
All Hunters	5	0.15	0.12	0.10	273.68	355.71	420.35	1331.10	34.93	2.04
All Hunters	10	0.17	0.15	0.13	330.77	431.90	415.72	1399.78	46.39	2.21
All Hunters	20	0.20	0.20	0.19	444.95	584.26	406.46	1537.14	69.30	2.54
All Hunters	30	0.20	0.20	0.23	567.45	694.91	411.91	1844.31	75.11	1.97
All Hunters	40	0.21	0.21	0.23	653.63	762.68	409.58	1940.18	72.81	3.68
All Mages	5	0.12	0.15	0.07	211.86	345.29	439.57	1597.27	24.19	11.80
All Mages	10	0.15	0.17	0.11	305.03	419.37	433.02	1643.02	30.41	19.25
All Mages	20	0.20	0.21	0.20	491.36	567.54	419.91	1734.53	42.84	34.16
All Mages	30	0.20	0.22	0.23	616.57	659.58	416.70	1868.18	45.80	50.91
All Mages	40	0.21	0.22	0.24	743.21	760.40	418.51	2046.78	42.75	59.28
All Support	5	0.10	0.14	0.13	173.51	409.35	404.99	825.05	8.86	0.52
All Support	10	0.10	0.16	0.18	225.44	499.30	400.56	887.38	12.61	1.19
All Support	20	0.12	0.18	0.28	329.29	679.20	391.70	1012.03	20.10	2.52
All Support	30	0.14	0.18	0.32	440.63	801.25	393.44	1116.64	20.88	3.16
All Support	40	0.13	0.16	0.36	518.70	917.03	396.72	1172.33	19.61	2.97
All Warriors	5	0.13	0.11	0.10	215.27	433.78	436.29	1444.43	18.49	2.43
All Warriors	10	0.15	0.13	0.14	286.19	526.71	430.76	1502.80	25.31	4.17
All Warriors	20	0.20	0.17	0.21	428.03	712.58	419.70	1619.55	38.96	7.63
All Warriors	30	0.20	0.18	0.24	514.22	832.52	416.87	1755.47	43.63	12.44
All Warriors	40	0.20	0.18	0.26	605.42	947.82	409.07	1795.04	43.68	13.55
All Gods	5	0.13	0.14	0.10	219.32	386.91	429.31	1375.67	20.01	4.88
All Gods	10	0.15	0.16	0.13	290.18	466.68	423.58	1430.63	28.01	7.32
All Gods	20	0.19	0.20	0.21	431.90	626.23	412.13	1540.54	44.01	12.21
All Gods	30	0.20	0.20	0.24	545.92	733.21	413.49	1742.71	46.95	18.61
All Gods	40	0.20	0.21	0.25	637.32	820.55	412.10	1856.19	45.87	22.15
